INSTNM,STABBR,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,UGDS,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEBT_MDN,MN_EARN_WNE_P10,MD_EARN_WNE_P10,MD_EARN_WNE_1YR,MD_EARN_WNE_5YR,FTFTPCTPELL,FTFTPCTFLOAN,ROOMBOARD_ON,OTHEREXPENSE_ON,OTHEREXPENSE_FAM,CONTROL,CONTROL_PEPS,GRAD_DEBT_MDN10YR_SUPP
Platt College-Aurora,CO,0,0,0,0,0,0,0,232,42416,NA,20590,20590,39742,34096,27160,33443,31900,77602,75738,79162,0.3333,0.8333,NA,NA,5757,3,Proprietary,446.5951072
Paul Mitchell the School-Boise,ID,0,0,0,0,0,0,0,186,NA,20970,NA,NA,9500,9500,10556,9500,19200,25719,21908,22868,0.6786,0.881,NA,NA,NA,3,Proprietary,111.9005663
Educators of Beauty College of Cosmetology-Rockford,IL,0,0,0,0,0,0,0,77,NA,16169,NA,NA,9500,9673,9830,9500,19800,21463,18731,20043,0.7846,0.8462,NA,NA,NA,3,Proprietary,104.2461647
Northwestern College,IL,0,0,0,0,0,0,0,514,30294,NA,18475,18475,9819,9500,11154,9569,33100,37871,36347,42771,0.8636,0.8636,NA,NA,7208,3,Proprietary,201.431621
Douglas J Aveda Institute,MI,0,0,0,0,0,0,0,834,NA,28707,NA,NA,6333,6333,9139,6333,27800,26849,18358,25118,0.5284,0.8428,NA,NA,NA,3,Proprietary,67.14033979
Ross Medical Education Center-Brighton,MI,0,0,0,0,0,0,0,18,NA,21376,NA,NA,8609,7000,5500,7719,24900,29898,28102,30902,0.5652,0.8696,NA,NA,NA,3,Proprietary,100.7158105
Ross Medical Education Center-Ann Arbor,MI,0,0,0,0,0,0,0,32,NA,23954,NA,NA,8609,7000,5500,7719,24900,29898,28102,30902,0.7353,0.8529,NA,NA,NA,3,Proprietary,100.7158105
Dorsey School of Beauty,MI,0,0,0,0,0,0,0,220,NA,27412,NA,NA,8576,PS,PS,8322,PS,13256,9096,16374,0.475,0.4714,NA,NA,NA,3,Proprietary,174.9274604
Pike-Lincoln Technical Center,MO,0,0,0,0,0,0,0,34,NA,20852,NA,NA,9500,PS,PS,9481,PS,48581,44372,46844,0.5,0.625,NA,NA,NA,1,Public,100.7158105
West Virginia Junior College-United Career Institute,PA,0,0,0,0,0,0,0,8,19129,NA,13625,13625,7572,9500,11567,8178,24000,31912,30555,32387,0.625,0.9375,NA,NA,3603,3,Proprietary,104.7550446
St Charles Community College,MO,0,0,0,0,0,0,0,5250,10678,NA,3000,5664,5549,4750,4750,4832,36300,42422,31653,48743,0.341,0.0615,NA,NA,5238,1,Public,65.59249681
University of Massachusetts Global,CA,0,0,0,0,0,0,0,4545,35619,NA,12520,12520,19529,18689,15625,18750,PS,65703,55944,64814,0.3333,0.1,NA,NA,4542,1,Private Nonprofit,257.3660017
New College of Florida,FL,0,0,0,0,0,0,0,669,22236,NA,6916,29944,11383,13191,12153,12000,PS,48082,26923,42516,0.275,0.15,10291,3270,3270,1,Public,184.2039166
Montana Bible College,MT,0,0,0,0,0,0,0,0,NA,NA,10090,10090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5100,1600,1500,2,Private Nonprofit,NA
Conservatory of Recording Arts and Sciences,AZ,0,0,0,0,0,0,0,615,NA,23254,NA,NA,8344,8344,8344,8344,42800,37429,21799,34990,0.4837,0.6231,NA,NA,NA,3,Proprietary,88.46028663
Adrian's Beauty College of Turlock,CA,0,0,0,0,0,0,0,97,NA,23641,NA,NA,6500,PS,PS,6500,PS,18199,12908,15762,0.4396,0.8352,NA,NA,NA,3,Proprietary,78.68555218
San Joaquin Valley College-Fresno,CA,0,0,0,0,0,0,0,419,NA,30706,NA,NA,10118,9500,9500,9773,33400,38317,32791,38245,0.6862,0.6702,NA,NA,NA,3,Proprietary,113.1621644
Dr. Ida Rolf Institute,CO,0,0,0,0,0,0,0,32,NA,36993,NA,NA,PS,PS,PS,7716,NA,NA,NA,NA,0.8,0.6,NA,NA,NA,2,Private Nonprofit,PS
Aveda Institute-Fort Myers,FL,0,0,0,0,0,0,0,428,NA,40988,NA,NA,6952,7667,6683,6953,20600,24057,19441,22858,0.7143,0.7143,NA,NA,NA,2,Proprietary,95.66941833
Elizabeth Grady School of Esthetics and Massage Therapy,MA,0,0,0,0,0,0,0,242,NA,18394,NA,NA,4922,5291,3666,4870,37000,NA,19889,26336,0.6452,0.5806,NA,NA,NA,3,Proprietary,54.85301091
Ross Medical Education Center-Port Huron,MI,0,0,0,0,0,0,0,28,NA,22540,NA,NA,9500,5500,5500,7504,22000,30060,24338,27408,0.75,0.8929,NA,NA,NA,3,Proprietary,100.7158105
Raphael's School of Beauty Culture Inc-Alliance,OH,0,0,0,0,0,0,0,421,NA,27293,NA,NA,6251,PS,PS,6250,PS,17650,13605,20480,0.7,0.8,NA,NA,NA,3,Proprietary,75.42023958
Metro Technology Centers,OK,0,0,0,0,0,0,0,1919,NA,12929,NA,NA,9500,PS,PS,9140,38000,38830,37870,38869,0.7216,0.2564,NA,NA,NA,1,Public,100.7158105
Luna Community College,NM,0,0,0,0,0,1,0,430,10715,NA,1130,2882,3623,PS,PS,3855,33000,32461,28368,36748,0.5333,0.0917,NA,NA,3134,1,Public,PS
Grabber School of Hair Design,MO,0,0,0,0,0,0,0,209,NA,15380,NA,NA,7830,7830,6143,7830,25400,27109,22628,25748,0.4203,0.4058,NA,NA,NA,3,Proprietary,83.0110312
Yeshivah Gedolah Rabbinical College,FL,0,0,0,0,0,0,0,44,17200,NA,8800,8800,PS,PS,PS,PS,PS,30667,NA,NA,0.6,0,9000,400,NA,2,Private Nonprofit,PS
Raphael's School of Beauty Culture Inc-Brunswick,OH,0,0,0,0,0,0,0,88,NA,23705,NA,NA,6251,PS,PS,6251,19200,21307,15109,22442,0.7073,0.7561,NA,NA,NA,3,Proprietary,79.91534523
Caribbean University-Ponce,PR,0,0,0,0,0,1,0,405,9038,NA,5966,5966,7063,PS,PS,7000,21400,22842,15325,24089,0.6176,0.2059,NA,NA,1958,2,Private Nonprofit,111.3174748
Caribbean University-Vega Baja,PR,0,0,0,0,0,1,0,141,9109,NA,5966,5966,7063,PS,PS,7000,21400,22842,15325,24089,0.9,0.2,NA,NA,1958,2,Private Nonprofit,111.3174748
University of Advancing Technology,AZ,0,0,0,0,0,0,0,802,30202,NA,18794,18794,9500,14125,15000,12000,57700,50719,34171,54365,0.66,0.88,10750,800,6600,3,Proprietary,305.4551508
Paradise Valley Community College,AZ,0,0,0,0,0,0,0,4084,16531,NA,2070,7854,4982,4000,3500,4500,40500,47196,61313,56590,0.3392,0.0897,NA,NA,11241,1,Public,74.15864154
Chandler-Gilbert Community College,AZ,0,0,0,0,0,1,0,7010,17320,NA,2070,7854,4500,4500,3500,4500,45800,51111,45169,55313,0.2935,0.0841,10440,11241,10872,1,Public,74.21164986
Great Plains Technology Center,OK,0,0,0,0,0,0,0,201,NA,12321,NA,NA,PS,PS,PS,PS,36700,42376,34921,40424,0.5179,0,NA,NA,NA,1,Public,PS
Roane-Jackson Technical Center,WV,0,0,0,0,0,0,0,26,NA,10751,NA,NA,PS,PS,PS,PS,30500,33982,36206,40992,0.6667,0,NA,NA,NA,1,Public,PS
Pioneer Technology Center,OK,0,0,0,0,0,0,0,108,NA,NA,NA,NA,PS,PS,PS,PS,28400,29841,33787,32674,0.6098,0,NA,NA,NA,1,Public,PS
Portage Lakes Career Center,OH,0,0,0,0,0,0,0,162,NA,20544,NA,NA,6333,PS,PS,6333,35200,38316,32234,41275,0.5965,0.7018,NA,NA,NA,1,Public,89.52045306
Bell Mar Beauty College,IL,0,0,0,0,0,0,0,48,NA,15594,NA,NA,PS,PS,PS,PS,21500,26222,22310,17508,0.5455,0,NA,NA,NA,3,Proprietary,PS
Caddo Kiowa Technology Center,OK,0,0,0,0,0,0,0,119,NA,6445,NA,NA,PS,PS,PS,PS,24200,21576,21238,29670,0.6842,0,NA,NA,NA,1,Public,PS
Center for Instruction Technology & Innovation,NY,0,0,0,0,0,0,0,23,NA,19412,NA,NA,PS,PS,PS,5052,31900,NA,32423,37549,0.8235,0.8235,NA,NA,NA,1,Public,PS
International School of Skin Nailcare & Massage Therapy,GA,0,0,0,0,0,0,0,317,NA,50840,NA,NA,6192,PS,PS,6193,28300,25452,18913,20288,0.5,0.5,NA,NA,NA,3,Proprietary,67.14033979
Palomar Institute of Cosmetology,CA,0,0,0,0,0,0,0,194,NA,21717,NA,NA,6333,PS,PS,6333,24500,23451,16903,22830,0.4583,0.4861,NA,NA,NA,3,Proprietary,67.14033979
Southern Oklahoma Technology Center,OK,0,0,0,0,0,0,0,160,NA,9793,NA,NA,PS,PS,PS,PS,33200,29012,30015,37674,0.6667,0,NA,NA,NA,1,Public,PS
Autry Technology Center,OK,0,0,0,0,0,0,0,458,NA,NA,NA,NA,PS,PS,PS,PS,35500,40389,33849,36915,0.5556,0,NA,NA,NA,1,Public,PS
Greene County Career Center,OH,0,0,0,0,0,0,0,18,NA,18036,NA,NA,PS,PS,PS,5225,33800,41796,45763,53266,0.5,0.3333,NA,NA,NA,1,Public,PS
Canadian Valley Technology Center,OK,0,0,0,0,0,0,0,745,NA,9474,NA,NA,PS,PS,PS,PS,27800,31355,35168,40666,0.1927,0,NA,NA,NA,1,Public,PS
Wilkes-Barre Area Career and Technical Center Practical Nursing,PA,0,0,0,0,0,0,0,65,NA,23227,NA,NA,17678,PS,PS,14247,37200,48705,44210,46278,1,1,NA,NA,NA,1,Public,187.4162209
Meridian Technology Center,OK,0,0,0,0,0,0,0,268,NA,12401,NA,NA,PS,PS,PS,PS,31300,34451,31853,34727,0.3333,0,NA,NA,NA,1,Public,PS
Waynesville Career Center,MO,0,0,0,0,0,0,0,19,NA,32100,NA,NA,PS,PS,PS,5500,32900,40979,37360,49392,0.5769,0.3846,NA,NA,NA,1,Public,PS
Capitol Beauty School,NE,0,0,0,0,0,0,0,138,NA,16910,NA,NA,5500,6333,10189,6333,27600,31349,25902,25978,0.3889,0.5111,NA,NA,NA,3,Proprietary,70.50106737
Morris County Vocational School District,NJ,0,0,0,0,0,0,0,31,NA,22734,NA,NA,5500,PS,PS,5990,PS,47174,51378,51824,0.5263,0.5789,NA,NA,NA,1,Public,PS
Ross Medical Education Center-Roosevelt Park,MI,0,0,0,0,0,0,0,99,NA,23600,NA,NA,9500,5500,5500,7504,22000,30060,24338,27408,0.8286,0.9333,NA,NA,NA,3,Proprietary,100.7158105
Ross Medical Education Center-Kentwood,MI,0,0,0,0,0,0,0,116,NA,23550,NA,NA,8019,5500,5500,5500,24600,30072,26250,29587,0.8351,0.866,NA,NA,NA,3,Proprietary,100.7158105
South Florida Bible College and Theological Seminary,FL,0,0,0,0,0,0,0,237,19773,NA,7380,7380,PS,PS,PS,PS,PS,45354,NA,54283,0.25,0,NA,NA,4713,2,Private Nonprofit,PS
Cloyd's Barber School 2 Inc,LA,0,0,0,0,0,0,0,30,NA,9885,NA,NA,PS,PS,PS,PS,PS,23220,NA,NA,0.4,0,NA,NA,NA,3,Proprietary,PS
Universal Technical Institute of Illinois Inc,IL,0,0,0,0,0,0,0,1216,NA,27292,NA,NA,10827,11688,11495,11183,48100,52873,39768,54551,0.612,0.8287,NA,NA,NA,3,Proprietary,139.1362418
Pennsylvania College of Technology,PA,0,0,0,0,0,0,0,4193,31089,NA,17940,25680,16500,15615,15000,15250,46100,52567,53167,63882,0.3146,0.6366,12130,3468,3468,1,Public,254.0264775
Commonwealth Institute of Funeral Service,TX,0,0,0,0,0,0,0,275,35230,NA,15313,15313,7125,9500,5500,7125,37400,37786,46369,45671,0.4902,0.6275,NA,NA,6372,2,Private Nonprofit,100.7158105
Delta College of Arts & Technology,LA,0,0,0,0,0,0,0,304,NA,24052,NA,NA,5843,8189,6153,5899,29800,34222,30585,32422,0.7273,0.7121,NA,NA,NA,3,Proprietary,78.37810391
InterCoast Colleges-Santa Ana,CA,0,0,0,0,0,0,0,31,NA,30215,NA,NA,9500,9500,7125,9500,24600,36089,37656,43537,0.7619,0.7619,NA,NA,NA,3,Proprietary,109.3349636
Stone Child College,MT,0,0,0,1,0,0,0,231,15748,NA,2645,2645,PS,PS,PS,PS,23800,24555,36682,39551,0.7097,0,NA,NA,6470,1,Public,PS
New York Academy of Art,NY,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,PS,PS,PS,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Private Nonprofit,PS
Suffolk County Community College,NY,0,0,0,0,0,1,0,13825,11708,NA,6270,11740,4850,4750,5500,5500,42400,49907,29771,49399,0.4393,0.1073,NA,NA,3010,1,Public,87.46373019
Las Positas College,CA,0,0,0,0,1,1,0,6088,10912,NA,1168,8176,5777,PS,PS,5639,46500,51088,23875,53212,0.2111,0,NA,NA,5292,1,Public,PS
Blades School of Hair Design,MD,0,0,0,0,0,0,0,28,NA,18140,NA,NA,PS,PS,PS,9783,PS,20583,17911,22683,0.3171,0.3171,NA,NA,NA,3,Proprietary,PS
Ogeechee Technical College,GA,0,0,0,0,0,0,0,1616,15953,NA,3140,5540,7792,PS,PS,7328,28300,31248,33804,34586,0.5987,0,NA,NA,4826,1,Public,100.7158105
Remington College-Mobile Campus,AL,0,0,0,0,0,0,0,255,30153,NA,20393,20393,9500,9500,9500,9500,28100,31349,24922,30983,0.8205,0.7949,NA,NA,4923,2,Private Nonprofit,140.6946865
Southern Technical College,FL,0,0,0,0,0,0,0,578,25653,NA,14742,14742,10312,9500,9500,9897,28200,36155,32804,41843,0.8153,0.8559,NA,NA,5404,3,Proprietary,119.268723
Mercy-St Luke's School of Radiologic Technology,IA,0,0,0,0,0,0,0,22,NA,NA,NA,NA,PS,PS,PS,PS,PS,NA,NA,NA,NA,NA,NA,NA,NA,2,Private Nonprofit,PS
Southwest Acupuncture College-Santa Fe,NM,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,PS,PS,PS,PS,PS,NA,NA,NA,NA,NA,NA,NA,NA,3,Proprietary,PS
Northwest Technology Center-Alva,OK,0,0,0,0,0,0,0,41,NA,16198,NA,NA,PS,PS,PS,PS,30800,32501,NA,34475,0.7692,0,NA,NA,NA,1,Public,PS
Mercer County Career Center,PA,0,0,0,0,0,0,0,5,NA,20049,NA,NA,PS,PS,PS,9500,35000,49088,44308,42320,0.75,0.5,NA,NA,NA,1,Public,PS
California State University-San Marcos,CA,0,0,0,0,1,1,0,13844,19750,NA,7733,19613,12610,12500,15000,13500,51100,62908,42878,64649,0.453,0.2759,13972,2658,4604,1,Public,183.938875
Hairmasters Institute of Cosmetology,IL,0,0,0,0,0,0,0,79,NA,13005,NA,NA,7000,PS,PS,7048,23700,19594,16349,29073,1,1,NA,NA,NA,3,Proprietary,87.86659343
Tricoci University of Beauty Culture LLC-Bloomington,IN,0,0,0,0,0,0,0,107,NA,22346,NA,NA,7307,4230,4230,7307,PS,27925,18013,24740,0.7368,0.8947,NA,NA,NA,3,Proprietary,77.46636079
Interactive College of Technology-Newport,KY,0,0,0,0,0,0,0,119,18726,NA,10610,10610,8532,PS,PS,8661,27500,27065,28724,31377,0.8571,0.75,NA,NA,2150,3,Proprietary,111.9005663
Miller-Motte College-McCann-Monroe,LA,0,0,0,0,0,0,0,165,NA,27824,NA,NA,10657,11457,9111,10661,28100,31102,25335,31123,0.9412,0.8824,NA,NA,NA,3,Proprietary,168.7466901
Ross Medical Education Center-Taylor,MI,0,0,0,0,0,0,0,53,NA,22850,NA,NA,9500,6431,5500,8481,25100,30481,25009,28553,0.8333,0.8889,NA,NA,NA,3,Proprietary,100.7158105
National Tractor Trailer School Inc-Liverpool,NY,0,0,0,0,0,0,0,189,NA,18562,NA,NA,6365,6365,3420,6365,37100,42217,47473,45682,0.4864,0.6318,NA,NA,NA,3,Proprietary,67.47959305
Interactive College of Technology,TX,0,0,0,0,0,0,0,90,19325,NA,10730,10730,4659,PS,PS,5300,27900,27182,22623,24378,0.6667,0.3889,NA,NA,2150,3,Proprietary,56.75070881
Butler Beauty Academy-New Castle Beauty Academy,PA,0,0,0,0,0,0,0,42,NA,15448,NA,NA,7500,PS,PS,7481,17700,23003,12973,18762,0.45,0.4,NA,NA,NA,3,Proprietary,79.51248199
NorthWest Arkansas Community College,AR,0,0,0,0,0,0,0,4900,10640,NA,2866,4906,6500,5500,5250,5500,37100,43505,35353,45144,0.4313,0.1959,NA,NA,3788,1,Public,100.7794205
H W Brewster Technical College,FL,0,0,0,0,0,0,0,1053,NA,9237,NA,NA,PS,PS,PS,PS,25900,27053,27962,31603,0.2692,0,NA,NA,NA,1,Public,PS
Hodges University,FL,0,0,0,0,0,1,0,337,25380,NA,15500,15500,17500,17505,18749,17600,43600,37052,42156,43941,0.7059,0.7647,NA,NA,4600,2,Private Nonprofit,293.4010585
University of St. Augustine for Health Sciences,CA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,PS,PS,PS,PS,NA,79150,72179,86181,NA,NA,NA,NA,NA,3,Proprietary,PS
Capital Area Career Center,IL,0,0,0,0,0,0,0,106,NA,NA,NA,NA,9500,PS,PS,9500,40300,55357,51550,51517,NA,NA,NA,NA,NA,1,Public,100.7158105
Hair Professionals Career College,IL,0,0,0,0,0,0,0,62,NA,18067,NA,NA,7892,PS,PS,7917,26200,23417,16887,24417,0.6667,0.7778,NA,NA,NA,3,Proprietary,100.7158105
Empire Beauty School-Bloomfield,NJ,0,0,0,0,0,0,0,94,NA,22019,NA,NA,7212,7667,9617,7667,20200,23925,18326,23009,0.6753,0.5974,NA,NA,NA,3,Proprietary,137.8216355
Southwest Technology Center,OK,0,0,0,0,0,0,0,332,NA,17224,NA,NA,PS,PS,PS,PS,37200,48966,32814,51814,0.203,0,NA,NA,NA,1,Public,PS
Western Area Career & Technology Center,PA,0,0,0,0,0,0,0,32,NA,NA,NA,NA,PS,PS,PS,15817,40800,43189,44435,NA,NA,NA,NA,NA,NA,1,Public,PS
Hussian College-Daymar College Clarksville,TN,0,0,0,0,0,0,0,371,34224,NA,22001,22001,9351,10487,12084,9500,36800,28806,26779,32000,0.7754,0.7839,NA,NA,5972,3,Proprietary,195.558299
Nossi College of Art and Design,TN,0,0,0,0,0,0,0,298,26907,NA,19150,19150,17500,19000,17013,17708,29700,35113,27809,35606,0.6585,0.7683,NA,NA,4400,3,Proprietary,355.1345496
Seguin Beauty School-New Braunfels,TX,0,0,0,0,0,0,0,0,NA,21360,NA,NA,7179,PS,PS,8427,21700,21891,19465,17895,0.4074,0.6296,NA,NA,NA,3,Proprietary,105.9636343
Pima Medical Institute-Seattle,WA,0,0,0,0,0,0,0,474,NA,32369,NA,NA,9500,9500,9500,9500,30600,38673,33913,39823,0.5294,0.6387,NA,NA,NA,3,Proprietary,100.7158105
Mineral County Vocational Technical Center,WV,0,0,0,0,0,0,0,9,NA,6780,NA,NA,PS,PS,PS,PS,PS,46022,45430,NA,0.25,0,NA,NA,NA,1,Public,PS
Hypnosis Motivation Institute,CA,0,0,0,0,0,0,0,241,NA,48329,NA,NA,9500,9500,9500,9500,35000,24244,21803,28236,0.725,0.975,NA,NA,NA,2,Private Nonprofit,100.7158105
Thanh Le College School of Cosmetology,CA,0,0,0,0,0,0,0,53,NA,NA,NA,NA,PS,PS,PS,PS,19100,13265,9745,13058,0.9286,0,NA,NA,NA,3,Proprietary,PS
Southeastern Technical College,GA,0,0,0,0,0,0,0,1018,14404,NA,3127,5527,PS,PS,PS,5027,23700,30329,37367,35701,0.7368,0,NA,NA,5023,1,Public,PS
Massachusetts School of Law,MA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,PS,PS,PS,PS,PS,NA,NA,NA,NA,NA,NA,NA,NA,2,Private Nonprofit,PS
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,FL,0,0,0,0,0,0,0,943,NA,25474,NA,NA,10588,10827,10239,10247,41600,48341,36758,46718,0.6085,0.7085,NA,NA,NA,3,Proprietary,138.8499969
Erwin Technical College,FL,0,0,0,0,0,0,0,642,NA,15746,NA,NA,PS,PS,PS,PS,33000,37966,31761,39392,0.4067,0,NA,NA,NA,1,Public,PS
Rosel School of Cosmetology,IL,0,0,0,0,0,0,0,42,NA,11434,NA,NA,PS,PS,PS,PS,18700,19819,13453,NA,0.8276,0,NA,NA,NA,3,Proprietary,PS
Worsham College of Mortuary Science,IL,0,0,0,0,0,0,0,190,28600,NA,24800,24800,11333,14603,9143,12000,48100,61574,46703,58958,0.5,0.5625,NA,NA,4000,3,Proprietary,159.2794039
Bryan University,MO,0,0,0,0,0,0,0,127,25879,NA,15782,15782,17302,PS,PS,16999,28400,28725,24618,31560,0.6842,0.6842,NA,NA,3038,3,Proprietary,241.3362853
Oregon College of Oriental Medicine,OR,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Private Nonprofit,NA
Central Pennsylvania Institute of Science and Technology,PA,0,0,0,0,0,0,0,131,NA,15395,NA,NA,9500,7247,5500,7480,PS,41677,34912,42983,0.4966,0.6577,NA,NA,NA,1,Public,100.228134
Northwest Educational Center,TX,0,0,0,0,0,0,0,69,NA,16558,NA,NA,PS,PS,PS,PS,24300,25442,23286,26543,1,0,NA,NA,NA,3,Proprietary,PS
PCI Health Training Center,TX,0,0,0,0,0,0,0,282,NA,22633,NA,NA,7842,PS,PS,7842,26300,34096,27589,31687,0.9018,0.7589,NA,NA,NA,3,Proprietary,84.20901926
Hamrick School,OH,0,0,0,0,0,0,0,92,NA,9054,NA,NA,5481,PS,PS,5481,PS,44797,47330,51607,0.2581,0.3387,NA,NA,NA,3,Proprietary,58.10772184
Fortis College,AL,0,0,0,0,0,0,0,232,NA,28566,NA,NA,9109,9500,7667,9122,22400,26652,26586,30478,0.9172,0.8217,NA,NA,NA,3,Proprietary,100.7158105
Downey Adult School,CA,0,0,0,0,0,0,0,813,NA,15243,NA,NA,PS,PS,PS,PS,PS,46851,28952,34065,0.859,0,NA,NA,NA,1,Public,PS
CRU Institute of Cosmetology and Barbering,CA,0,0,0,0,0,0,0,112,NA,22310,NA,NA,PS,PS,PS,9551,20400,20125,8318,15879,0.6316,0.6842,NA,NA,NA,3,Proprietary,104.2461647
Modern Technology School,CA,0,0,0,0,0,0,0,115,NA,26323,NA,NA,11095,PS,PS,11430,44500,50667,39800,45276,0.5619,0.7238,NA,NA,NA,3,Proprietary,157.6997559
National Career Education,CA,0,0,0,0,0,0,0,342,NA,31338,NA,NA,7600,7600,5133,7600,37900,38015,35241,41848,0.6715,0.7664,NA,NA,NA,3,Proprietary,83.25486948
North-West College-Glendale,CA,0,0,0,0,0,0,0,128,NA,36490,NA,NA,9500,9500,5500,9500,29100,37542,30390,33535,0.6667,0.4545,NA,NA,NA,3,Proprietary,100.7158105
Fremont University,CA,0,0,0,0,0,0,0,143,NA,35073,NA,NA,20000,PS,PS,20000,33600,39003,25421,35500,0.6447,0.6579,NA,NA,NA,3,Proprietary,212.0332853
Pomona Unified School District Adult and Career Education,CA,0,0,0,0,0,0,0,93,NA,7817,NA,NA,PS,PS,PS,PS,23400,34849,14620,23513,0.5741,0,NA,NA,NA,1,Public,PS
Universal College of Beauty Inc-Los Angeles 2,CA,0,0,0,0,0,0,0,21,NA,20542,NA,NA,PS,PS,PS,PS,16900,17821,NA,14712,1,0,NA,NA,NA,3,Proprietary,PS
IBMC College,CO,0,0,0,0,0,0,0,384,26041,NA,14960,14960,7486,6558,6333,7048,27500,34432,29268,35634,0.7568,0.7027,NA,NA,1480,3,Proprietary,92.76456232
Avalon Institute-Aurora,CO,0,0,0,0,0,0,0,188,NA,20615,NA,NA,6329,6326,3666,6325,25600,24367,20895,32514,0.8085,0.8085,NA,NA,NA,3,Proprietary,67.12973813
Academy of Cosmetology,FL,0,0,0,0,0,0,0,113,NA,20623,NA,NA,5175,PS,PS,5125,PS,20144,15469,17747,0.4681,0.617,NA,NA,NA,3,Proprietary,58.30915346
Fortis College-Smyrna,GA,0,0,0,0,0,0,0,450,25924,NA,15516,15516,9500,9643,9500,9500,28300,36368,31547,36724,0.931,0.7069,NA,NA,4500,3,Proprietary,133.0190815
Ross College-Davenport,IA,0,0,0,0,0,0,0,28,NA,25597,NA,NA,8609,7000,5500,7719,24900,29898,28102,30902,1,1,NA,NA,NA,3,Proprietary,100.7158105
Pivot Point Academy,IL,0,0,0,0,0,0,0,119,NA,15897,NA,NA,9833,9833,9833,9833,29600,30453,19273,24540,0.8276,0.6897,NA,NA,NA,3,Proprietary,104.2461647
Blalock's Professional Beauty College,LA,0,0,0,0,0,0,0,26,NA,24115,NA,NA,PS,PS,PS,PS,NA,NA,NA,NA,1,1,NA,NA,NA,3,Proprietary,PS
Diesel Driving Academy-Baton Rouge,LA,0,0,0,0,0,0,0,279,NA,17920,NA,NA,6333,PS,PS,6333,38500,43011,35623,41667,0.3982,0.4394,NA,NA,NA,3,Proprietary,67.14033979
New England Hair Academy,MA,0,0,0,0,0,0,0,113,NA,28141,NA,NA,PS,PS,PS,PS,24900,NA,16593,24709,0.6909,0,NA,NA,NA,3,Proprietary,PS
Rob Roy Academy-Worcester,MA,0,0,0,0,0,0,0,59,NA,28366,NA,NA,9483,5500,5500,5500,23700,30033,16824,17415,0.5405,0.7838,NA,NA,NA,3,Proprietary,100.3447523
Upper Cape Cod Regional Technical School,MA,0,0,0,0,0,0,0,63,NA,24490,NA,NA,8250,PS,PS,9500,PS,NA,58852,61799,0.8,0.76,NA,NA,NA,1,Public,100.7158105
All-State Career-Baltimore,MD,0,0,0,0,0,0,0,475,NA,23431,NA,NA,6334,6333,6333,6333,37300,33193,30670,36707,0.7279,0.6618,NA,NA,NA,3,Proprietary,100.7158105
Adler Graduate School,MN,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,PS,PS,PS,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Private Nonprofit,PS
Academy of Hair Design-Jackson,MS,0,0,0,0,0,0,0,60,NA,22755,NA,NA,6500,PS,PS,6500,18900,22284,13337,18356,0.8182,1,NA,NA,NA,3,Proprietary,71.94289371
KC's School of Hair Design,MS,0,0,0,0,0,0,0,58,NA,12810,NA,NA,PS,PS,PS,6500,NA,NA,12436,18663,0.8667,0.5333,NA,NA,NA,3,Proprietary,PS
Lincoln Technical Institute-Moorestown,NJ,0,0,0,0,0,0,0,675,NA,42079,NA,NA,9104,9000,6855,9000,29600,31914,34545,35832,0.7819,0.7387,NA,NA,NA,3,Proprietary,111.5401097
MCVSD,NJ,0,0,0,0,0,0,0,47,NA,24430,NA,NA,PS,PS,PS,5500,40500,45062,NA,37312,0.4079,0.1974,NA,NA,NA,1,Public,PS
National Tractor Trailer School Inc-Buffalo,NY,0,0,0,0,0,0,0,138,NA,18019,NA,NA,6365,6365,3420,6365,37100,42217,47473,45682,0.5412,0.5529,NA,NA,NA,3,Proprietary,67.47959305
Yeshiva Gedolah Imrei Yosef D'spinka,NY,0,0,0,0,0,0,0,196,14400,NA,11500,11500,PS,PS,PS,PS,31800,36545,14906,31052,0.9211,0,NA,NA,500,2,Private Nonprofit,PS
Knox County Career Center,OH,0,0,0,0,0,0,0,115,NA,NA,NA,NA,8618,PS,PS,8618,29800,38212,36639,36931,0.6,0.8,NA,NA,NA,1,Public,100.7158105
Madison Adult Career Center,OH,0,0,0,0,0,0,0,95,NA,17995,NA,NA,PS,PS,PS,3383,PS,30941,26282,30381,0.2667,0.1333,NA,NA,NA,1,Public,45.22669976
