ST_CASE,YEAR,STATE,COUNTY,FATALS,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_WEATHER,A_LT,A_MC,A_SPCRA,A_PED,A_PED_F,A_PEDAL,A_PEDAL_F,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_RD,A_HR,A_DIST,A_DROWSY,BIA,SPJ_INDIAN,INDIAN_RES
40312,2021,4,17,3,1,9,1,2,1,2,3,2,3,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,0,0,0
40313,2021,4,23,1,1,9,1,2,2,2,3,2,1,2,2,3,1,2,1,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,1,1,2,2,0,0,0
40314,2021,4,23,1,1,9,1,2,1,2,3,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
40315,2021,4,13,1,1,9,1,2,1,2,3,2,2,1,2,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40316,2021,4,13,2,1,9,2,2,4,2,3,2,1,2,2,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,1,2,1,0,0,0
40317,2021,4,21,1,1,9,1,2,1,1,5,1,4,2,2,2,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40318,2021,4,19,1,1,9,2,2,1,1,3,1,4,1,1,2,13,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40319,2021,4,21,3,1,9,1,2,1,2,4,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,1,0,1
40320,2021,4,21,1,1,9,1,2,1,2,4,2,3,1,1,2,13,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
40321,2021,4,13,1,1,9,2,2,1,1,4,1,4,2,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,1,2,0,0,0
40322,2021,4,13,1,1,9,2,2,1,1,3,1,4,1,1,2,13,2,2,2,2,2,2,2,1,2,3,1,1,1,1,2,1,1,2,2,2,2,0,0,0
40323,2021,4,1,1,1,9,3,3,6,3,7,4,1,3,3,1,99,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40324,2021,4,17,1,1,9,1,2,6,3,4,4,1,2,2,1,99,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,0,1
40325,2021,4,7,1,1,9,2,2,6,3,5,4,1,3,1,1,99,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,0,1
40326,2021,4,13,1,1,9,2,2,1,1,3,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,2,2,2,2,0,0,0
40327,2021,4,13,1,1,9,2,2,1,1,3,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40328,2021,4,13,1,1,9,2,2,1,2,4,2,1,2,2,1,99,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40329,2021,4,13,1,1,9,2,2,1,2,4,3,1,1,1,1,99,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40330,2021,4,12,1,1,9,1,2,6,3,3,4,7,3,1,1,99,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0
40331,2021,4,13,1,1,9,2,2,1,1,3,1,1,2,2,1,99,2,2,2,1,1,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
40332,2021,4,13,1,1,9,2,2,1,2,4,2,1,2,2,1,99,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40333,2021,4,21,2,1,9,2,2,4,1,3,1,1,2,2,1,99,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40334,2021,4,21,2,1,9,1,2,6,3,5,4,7,2,2,1,99,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,0,1
40335,2021,4,13,1,1,9,3,3,6,3,7,4,1,2,1,1,99,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40336,2021,4,17,1,1,9,3,3,6,3,7,4,1,2,1,1,99,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,0,1,1
40337,2021,4,27,1,1,9,2,2,6,3,4,4,1,1,1,1,99,2,2,2,2,2,2,2,1,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
40338,2021,4,15,1,1,9,3,3,6,3,7,4,7,3,3,1,99,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40339,2021,4,13,1,1,9,2,2,1,1,3,1,4,1,1,3,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,2,1,2,2,2,2,0,0,0
40340,2021,4,13,1,1,9,2,2,1,2,4,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,0,0,0
40341,2021,4,13,1,1,9,2,2,1,1,4,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40342,2021,4,13,1,1,9,2,2,1,1,4,1,4,1,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,2,2,2,2,0,0,0
40343,2021,4,13,1,1,9,2,2,1,1,4,1,4,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,2,2,2,2,0,0,0
40344,2021,4,21,1,1,9,2,2,1,2,3,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40345,2021,4,13,1,1,9,2,2,1,2,2,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40346,2021,4,13,1,1,9,2,2,1,1,4,1,4,1,1,2,99,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
40347,2021,4,13,1,1,9,2,2,1,2,3,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,1,1,2,1,2,2,0,0,0
40348,2021,4,13,1,1,9,2,2,1,2,4,2,1,2,2,1,99,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40349,2021,4,12,1,1,9,3,3,4,2,7,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40350,2021,4,15,1,1,9,3,3,6,3,7,4,7,3,3,1,99,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40351,2021,4,13,1,1,9,2,2,1,2,4,2,1,2,1,1,99,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
40352,2021,4,13,1,1,9,2,2,1,1,4,1,4,1,1,2,99,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40353,2021,4,13,1,1,9,3,3,6,3,7,4,1,3,1,1,99,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40354,2021,4,13,1,1,9,2,2,1,2,4,3,4,1,2,2,13,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40355,2021,4,13,1,1,9,2,2,1,2,4,2,3,2,2,2,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
40356,2021,4,13,1,1,9,2,2,1,2,4,2,1,1,1,1,99,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40357,2021,4,12,1,1,9,3,3,6,3,7,4,1,3,1,1,99,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40358,2021,4,13,1,1,9,2,2,1,2,4,3,4,2,2,2,1,2,2,1,2,2,2,2,2,2,3,1,1,1,1,1,2,1,2,2,2,2,0,0,0
40359,2021,4,21,1,1,9,1,2,6,3,4,4,7,2,2,1,99,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40360,2021,4,1,1,1,9,3,3,6,3,7,4,7,3,3,1,99,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40361,2021,4,13,1,1,9,2,2,1,1,4,1,4,1,1,2,99,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40362,2021,4,13,1,1,9,2,2,1,2,4,2,1,1,2,1,99,2,1,2,2,2,1,1,2,2,3,1,1,1,1,2,2,1,2,2,2,2,0,0,0
40363,2021,4,13,1,1,9,2,2,3,2,3,2,1,2,2,1,99,2,2,2,2,2,2,2,1,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
40364,2021,4,13,1,1,9,2,2,4,2,3,3,1,2,1,1,99,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40365,2021,4,13,1,1,9,2,2,1,2,4,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,1,1,2,2,1,2,2,2,2,0,0,0
40366,2021,4,13,1,1,9,2,2,1,2,4,3,4,1,1,2,99,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
40367,2021,4,13,1,1,9,2,2,1,2,4,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40368,2021,4,13,1,1,9,2,2,1,1,4,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,0,0,0
40369,2021,4,13,1,1,9,2,2,6,2,5,2,1,2,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40370,2021,4,27,1,1,9,2,2,1,1,5,1,1,2,2,1,1,2,2,1,1,1,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
40371,2021,4,13,1,1,9,2,2,1,1,4,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40372,2021,4,13,1,1,9,2,2,1,1,4,1,4,1,1,2,99,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40373,2021,4,13,1,1,9,2,2,1,3,4,4,1,2,2,1,99,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
40374,2021,4,13,1,1,9,2,2,1,2,3,3,4,2,2,2,99,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40376,2021,4,13,1,1,9,3,3,6,3,7,4,1,1,2,1,99,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40377,2021,4,15,3,1,9,1,2,1,2,6,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
40378,2021,4,13,1,1,9,2,2,1,2,4,2,1,2,2,1,99,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
40379,2021,4,13,1,1,9,2,2,1,2,4,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
40380,2021,4,21,1,1,9,3,3,6,3,7,4,1,1,1,1,99,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40381,2021,4,3,1,1,9,3,3,6,3,7,4,7,2,1,1,99,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
40382,2021,4,13,1,1,9,2,2,1,1,4,1,4,2,2,2,99,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,1,1,2,2,2,2,0,0,0
40383,2021,4,3,2,1,9,2,2,4,2,6,2,1,2,1,1,99,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40384,2021,4,21,1,1,9,1,2,1,1,5,1,4,1,1,2,99,2,1,2,2,2,2,2,2,2,3,2,2,1,1,2,2,1,2,2,2,2,0,0,0
40385,2021,4,13,1,1,9,2,2,1,2,4,2,1,2,1,1,99,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
40386,2021,4,13,1,1,9,2,2,1,2,4,2,4,1,1,2,1,2,2,1,2,2,2,2,2,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
40387,2021,4,13,1,1,9,2,2,3,1,4,1,1,2,2,1,99,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
40389,2021,4,1,1,1,9,1,2,6,3,4,4,1,1,2,1,99,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,1,0,1
40390,2021,4,13,1,1,9,2,2,1,2,5,2,1,2,2,2,99,2,2,2,2,2,1,1,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
40391,2021,4,13,1,1,9,2,2,1,1,4,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40392,2021,4,13,1,1,9,2,2,4,1,4,1,1,2,1,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40394,2021,4,13,1,1,9,2,2,1,1,4,1,4,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,2,0,0,0
40395,2021,4,21,1,1,9,1,2,4,2,5,2,1,1,2,1,1,2,2,1,2,2,2,2,1,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
40396,2021,4,13,1,1,9,2,2,4,1,4,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40397,2021,4,5,1,1,9,2,2,1,2,5,2,2,2,1,2,13,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40398,2021,4,13,1,1,9,2,2,1,2,4,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40399,2021,4,13,1,1,9,2,2,1,1,4,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40400,2021,4,12,1,1,9,1,1,1,2,1,2,2,1,1,3,1,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40401,2021,4,13,1,1,9,2,2,4,2,4,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,1,2,0,0,0
40402,2021,4,13,1,1,9,2,1,3,2,1,3,1,2,2,1,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40403,2021,4,25,1,1,9,2,2,4,2,4,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40404,2021,4,25,1,1,9,2,2,1,1,4,1,5,1,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40405,2021,4,13,1,1,9,2,2,4,2,2,3,1,2,1,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40406,2021,4,21,1,1,9,1,2,4,2,3,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
40407,2021,4,27,1,1,9,2,2,1,2,4,3,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
40408,2021,4,13,1,1,9,2,2,1,1,4,1,4,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,1,1,2,2,1,2,2,2,2,0,0,0
40409,2021,4,15,4,1,9,1,2,1,2,3,2,3,2,2,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40410,2021,4,7,2,1,9,1,2,1,2,4,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,1,0,1
40411,2021,4,21,1,1,9,2,2,4,2,4,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
40412,2021,4,13,1,1,9,2,2,4,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0
40413,2021,4,19,1,1,9,1,2,1,2,5,2,4,1,2,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40414,2021,4,19,1,1,9,2,2,1,2,4,2,5,2,2,3,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
40415,2021,4,13,1,1,9,2,2,1,1,4,1,4,1,1,2,1,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40416,2021,4,13,4,1,9,2,2,1,2,2,2,2,2,1,3,1,1,2,1,2,2,2,2,1,2,3,2,2,1,1,2,1,1,2,2,2,2,0,0,0
40417,2021,4,19,1,1,9,1,2,4,2,4,2,1,1,1,1,1,2,2,1,2,2,2,2,1,1,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40418,2021,4,5,1,1,9,1,2,4,2,3,2,1,2,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40419,2021,4,19,1,1,9,2,2,3,2,5,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40420,2021,4,12,1,1,9,1,2,4,2,4,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,1,2,0,0,0
40421,2021,4,13,1,1,9,1,2,4,2,3,2,1,2,2,1,1,1,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,1,0,0,0
40422,2021,4,11,1,1,9,1,2,4,2,5,2,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,0,0,0
40423,2021,4,19,2,1,9,2,1,2,2,1,3,1,2,2,1,1,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,0,0,0
40424,2021,4,21,1,1,9,1,2,1,2,4,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40425,2021,4,13,1,1,9,2,2,1,2,3,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
40426,2021,4,25,1,1,9,1,2,4,2,4,2,1,1,2,1,1,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40427,2021,4,25,1,1,9,1,1,1,2,1,2,1,2,1,1,13,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40428,2021,4,13,1,1,9,2,2,1,2,2,3,1,1,2,1,1,2,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40429,2021,4,1,2,1,9,1,1,3,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
40430,2021,4,13,1,1,9,2,2,4,1,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,1,2,0,0,0
40431,2021,4,21,1,1,9,1,1,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2,2,1,0,0,0
40432,2021,4,7,1,1,9,2,2,1,2,3,2,3,1,2,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
40433,2021,4,19,1,1,9,1,2,1,2,4,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40434,2021,4,13,1,1,9,2,1,4,2,1,3,1,2,1,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40435,2021,4,21,1,1,9,1,2,4,2,3,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40436,2021,4,13,1,1,9,2,1,2,2,1,3,1,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40437,2021,4,19,1,1,9,2,2,4,2,2,3,1,2,1,1,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
40438,2021,4,3,1,1,9,1,2,1,2,3,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40439,2021,4,25,1,1,9,1,2,1,2,3,2,3,1,1,2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40440,2021,4,27,1,1,9,2,2,4,2,4,2,1,1,2,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40441,2021,4,19,1,1,9,2,2,4,1,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40442,2021,4,19,1,1,9,2,2,4,2,3,2,1,2,2,1,99,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40443,2021,4,13,1,1,9,2,2,3,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
40444,2021,4,15,3,1,9,1,1,1,2,1,2,2,1,2,3,1,1,2,1,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,0,0,0
40445,2021,4,15,1,1,9,1,1,3,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40446,2021,4,19,1,1,9,2,2,1,2,4,2,2,2,2,3,1,2,2,1,2,2,2,2,1,2,3,1,2,1,2,1,2,2,2,2,2,2,0,0,0
40447,2021,4,13,1,1,9,2,2,4,1,4,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40448,2021,4,13,2,1,9,2,2,3,2,5,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40449,2021,4,19,1,1,9,1,2,4,2,5,2,3,1,1,2,13,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,2,2,2,0,0,0
40450,2021,4,5,2,1,9,1,2,1,2,4,2,3,1,1,2,1,2,2,2,2,2,2,2,1,2,3,1,1,1,1,1,2,1,1,2,2,2,1,0,1
40451,2021,4,13,1,1,9,2,2,4,2,4,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,1,1,1,1,2,2,0,0,0
40452,2021,4,13,1,1,9,2,2,1,2,5,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40453,2021,4,13,2,1,9,2,2,1,2,2,3,3,2,1,3,99,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40454,2021,4,13,1,1,9,2,2,1,1,4,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40455,2021,4,21,1,1,9,2,2,1,1,5,1,6,2,1,2,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40456,2021,4,25,1,1,9,1,2,4,2,3,2,1,1,1,1,99,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40457,2021,4,13,1,1,9,2,2,1,1,3,1,4,2,2,3,1,1,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40458,2021,4,17,1,1,9,1,2,4,2,5,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40459,2021,4,23,1,1,9,2,2,1,2,6,2,1,1,1,1,13,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40460,2021,4,19,1,1,9,2,2,1,1,4,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40461,2021,4,13,1,1,9,2,2,4,2,4,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40462,2021,4,19,1,1,9,2,2,1,1,4,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,0,0,0
40463,2021,4,13,1,1,9,2,2,1,2,4,2,3,2,1,2,1,2,2,1,2,2,2,2,2,2,3,1,1,1,1,2,1,1,1,2,2,2,0,0,0
40464,2021,4,13,1,1,9,2,2,1,2,4,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40465,2021,4,19,1,1,9,2,2,1,1,3,1,4,2,2,2,1,2,2,1,2,2,2,2,2,2,3,1,1,1,1,2,2,1,1,2,2,2,0,0,0
40467,2021,4,13,1,1,9,2,2,1,1,5,1,4,1,1,2,1,2,2,1,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40468,2021,4,17,1,1,9,1,2,4,2,4,2,1,2,2,1,13,2,2,1,2,2,2,2,1,2,3,2,2,1,1,2,2,1,1,2,2,2,1,0,1
40469,2021,4,13,6,1,9,1,2,1,2,2,2,2,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40470,2021,4,25,3,1,9,1,2,1,2,4,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40471,2021,4,19,1,1,9,1,2,1,2,2,2,1,2,1,3,1,1,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,2,1,2,2,2,0,0,0
40472,2021,4,19,1,1,9,2,2,1,1,3,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0
40473,2021,4,13,1,1,9,2,2,4,2,2,3,1,1,2,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,2,2,0,0,0
40474,2021,4,25,2,1,9,2,2,1,2,2,2,4,1,1,2,1,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,1,2,1,2,0,0,0
